Delta,Theta,Alpha,Beta,Gamma
7.648857913,4.991562881,3.977971575,5.554287773,0.664974856
1.304503246,3.082549156,3.36859297,5.072220477,0.615750493
13.15555921,5.020881435,4.191822252,5.497729376,0.726761318
10.21685241,5.001063808,5.692753158,5.812326857,0.74744783
14.65543243,8.433391968,6.078580162,7.366242972,0.968381827
4.475439686,4.878039579,5.887982181,5.933327322,0.625161978
4.945831389,6.313496589,5.320123044,6.19865106,0.854700516
5.938858232,6.748167913,4.730827327,5.87344333,0.7500312
5.258491922,4.634954461,4.664295428,5.624179501,0.641378776
3.613805714,4.004663499,4.31839663,4.891234232,0.605564785
6.419504941,6.040184307,5.598638124,5.906866,0.584791593
22.04932443,7.164774145,4.470563406,6.288414298,0.839396266
14.17946658,5.689799367,4.856781085,5.919837147,0.693230882
4.372489567,4.434169645,5.47642553,6.336604477,1.152796372
2.887788702,4.591953133,4.150137875,5.523807041,0.608168209
8.908562266,6.758857346,5.496192127,6.640717691,0.810638081
10.09938556,6.379935385,5.275797912,7.454603744,1.245738814
10.26190376,6.52777885,6.197160748,6.982713183,1.070985754
3.903634562,5.465148722,4.559911348,5.90611856,0.650407349
8.740410445,4.415726062,3.297944761,5.688774903,0.900724025
4.672162298,4.913595117,4.572968098,6.092591109,0.628775307
3.66882653,5.70896614,4.137093389,6.580041946,1.33872477
2.621163596,3.629939533,3.616047177,5.444648385,0.700769061
86.59642028,374.3175499,57.88994299,31.93491002,11.47568611
81.25309315,291.6059072,52.12023219,30.14694173,8.29022989
253.7482015,1095.182841,136.7610154,72.71269363,38.58960625
100.5340884,393.126259,61.32931386,51.83450976,27.72734008
48.12004231,155.1728353,36.29506914,29.20265333,9.025079698
227.8561867,1078.465701,99.20261245,34.97470855,16.06333846
196.4148504,973.6612577,69.19332214,35.42534892,11.58661903
48.56629912,215.8616083,41.25726579,32.94219241,12.18881882
62.2972202,260.6507529,44.88738836,30.56516872,13.80647513
614.5992049,3204.845806,203.9837059,63.55287301,24.05868699
260.6192212,949.6995053,146.0279264,54.83035377,13.40974472
175.3047898,689.3257414,71.78511289,41.87514744,13.78011746
286.9512745,1675.603313,134.4004293,35.14244257,8.002844221
30.89126121,119.5640942,35.00587175,28.66109612,15.38027529
408.5448116,1732.330842,108.0416343,61.36665152,33.03178082
463.2064983,2063.365209,148.4428388,41.33180847,11.89389796
682.8802286,3369.094006,263.4707687,54.12738057,20.78184247
628.4692936,2906.817428,216.7616896,54.68544533,15.03447993
274.2626063,1212.320941,84.48837979,26.33160505,11.20292876
529.6402178,2443.5962,155.5595204,64.61948573,30.34466722
471.575403,1596.875623,112.7093665,66.11753551,35.58797279
429.0666391,2543.338573,221.1465002,67.71203866,39.83546276
26.43385223,153.8710512,34.34608069,25.54696386,8.457625255
26.84981305,31.74549301,12.25139339,18.3938516,7.824480258
34.84480279,42.38657826,16.61879971,20.96396598,8.564405484
125.4828619,88.46556823,26.77117883,27.56081803,7.472365853
121.0824159,52.8052826,16.7457549,20.38839327,5.953059405
51.36847706,42.83683714,16.57168873,20.4858617,8.988431382
100.4103798,37.12195693,14.95710896,19.40733016,8.315139898
73.47582944,46.2346153,14.81508865,22.15176337,13.31972003
91.34074726,44.72940387,13.75829849,20.70795837,9.474023854
141.2543626,51.88588148,15.82178408,20.23858111,8.476484856
116.7130643,58.62065108,20.86427946,24.02507691,9.397917931
129.5245427,75.83956017,24.53979743,24.65339108,8.917832743
59.13992769,39.25284902,14.28394375,19.5046671,7.316740468
72.04236246,48.13811261,14.75114279,18.04474957,6.550979469
37.73170543,36.14513454,15.20855687,18.04117582,7.771782477
88.8551377,39.78697834,12.78127664,20.98653674,10.65352547
36.16101612,38.42925714,11.76960065,18.07842703,6.513969163
59.50134933,39.64867459,13.81043533,20.4400403,8.764516356
68.28933775,89.76382592,24.55936866,25.85689919,7.111884079
10.57052326,12.15000109,7.158916241,14.92366642,9.588281302
31.53010133,25.45927125,9.707487988,18.17440489,9.508028455
32.41938158,38.14822936,13.65241569,19.54032565,7.198230181
17.07098094,20.69399062,9.210469834,16.10189162,7.605935588
44.68245619,25.3934127,11.51611574,18.23341127,8.883805678
74.57914822,839.139844,123.0486507,84.29416815,37.01069096
79.59536819,1400.384198,272.252418,96.46008307,36.45376133
61.08588625,500.7442628,107.282287,162.7472488,109.5182423
66.90842082,857.0121409,167.8325311,169.0284481,123.8604872
27.03160816,348.8548227,93.82179839,180.2473716,128.6410749
117.4649894,2105.092381,283.7904056,97.36456427,43.08599302
89.80730202,816.8664932,165.8012183,107.4932649,54.74566612
97.47664068,2687.919078,247.8224107,88.94621721,26.25222422
154.8970153,2560.306583,285.3603677,107.1848215,23.31869852
171.2602905,1564.508951,233.3984444,116.225909,49.06560435
36.0136086,372.6596819,92.19307376,77.64658226,30.06795054
58.18015366,795.6206882,151.5391685,96.29494009,37.813205
136.4815146,2695.74418,292.256013,92.00316932,41.47390236
24.1560598,313.8962826,65.21074847,90.78492284,66.55992226
64.06348195,603.6201237,111.2793773,130.6203608,91.30523421
93.70514071,1211.759089,148.0897498,110.9617221,46.27515743
118.5910114,1475.381658,223.5174955,87.10843763,29.49711523
66.37190919,728.4332825,121.9405641,79.70551949,28.88883902
9.415114794,114.2626207,31.78515785,73.0707395,57.98899915
30.18152029,283.3516556,90.05372551,230.1682625,288.3550686
138.9742864,1497.006998,232.5145924,139.077451,101.6750193
113.0472428,3414.861842,331.2554002,92.77720837,35.1726779
482.3658967,6100.548262,1106.802599,587.2461027,166.7011958
13.54374967,235.6101838,25.66253819,29.18381784,10.15018114
13.8795142,267.2781595,29.62723004,22.85946292,5.004019787
34.17494903,397.2729488,45.19407972,38.61297915,14.36588703
23.8692046,205.2874733,31.28579658,34.29694662,13.10688709
28.44973262,294.6498814,34.56641143,28.94207362,9.11890573
18.97299365,190.638886,27.81768208,26.71255888,7.585612357
33.5565806,421.6939331,39.36529414,31.12626585,8.064789625
41.9943293,419.763195,39.81074342,29.95260753,6.450102151
68.33558056,423.329283,49.65039456,29.46008719,6.223898332
69.31513733,531.2155448,55.51241279,34.78694939,7.185874668
15.52955945,254.2834841,33.11676819,28.93599821,8.82728335
29.66150329,263.6070265,35.525118,28.46501584,6.27512245
61.16233214,433.8565611,46.45393412,31.057584,6.364753389
34.58456861,362.1098668,34.90867353,30.96308631,10.77037392
34.13677631,432.5793531,36.35520716,22.48441641,4.42109757
14.7677969,300.147404,26.72089216,22.83007302,5.567931987
6.847455723,98.21589498,15.23455876,19.72314825,5.986040338
26.62246034,355.2707315,45.73316236,33.29212982,7.926728349
10.31429746,253.8185707,27.33836931,22.02761678,6.819825781
20.21452829,353.5697377,35.29427199,31.7539332,11.91880294
16.47606496,210.8394994,25.22305065,27.0784302,7.619322862
16.16000847,278.7226604,22.67742163,22.93573016,7.148005001
16.4308767,182.3850565,25.87558003,21.75640857,3.661234845
5.163096867,47.20764788,25.90245894,25.49493496,11.01073199
8.163555313,74.41187953,30.90256104,107.9869823,73.70769909
12.18914478,61.06771429,33.05413045,35.26877026,17.62559577
10.29311881,101.224515,39.64882552,108.2340637,76.68281041
6.767207129,63.97040933,28.1356894,45.40680121,25.83321213
10.75642366,85.24259028,29.54971337,30.28060581,9.443857419
13.55851031,73.9996566,30.40877665,29.86918869,9.379013482
1.446514977,21.33585859,37.32137633,30.54336159,15.86794004
12.15637933,113.9804629,35.57164539,51.63534249,22.90762848
13.56555633,110.5482626,44.42960877,33.10515374,8.94448269
5.142708617,51.21954278,32.00425446,36.81199528,18.601425
9.455163128,52.25330216,29.24631046,57.0677785,31.68235995
4.362297181,44.35829751,26.490427,23.16955091,7.007701552
5.336224125,53.85378386,26.88044219,35.60546926,14.82832057
7.019561954,62.18327695,36.64666962,28.89644841,10.93550767
3.223644802,40.57531863,33.2758413,33.82187249,17.46851682
1.921604645,24.95793051,26.89108889,21.79521478,6.695137968
5.49187218,46.87924011,25.65867522,26.44601212,7.330385254
2.628234753,28.56015552,19.89421265,27.58170997,9.810016653
6.855136596,60.5183564,35.02413396,106.6537008,78.23341279
4.681818967,42.99090613,24.66155848,52.43768726,31.57331916
5.532804485,35.49262735,24.13610732,24.79245597,8.225169744
6.826373769,61.79557621,27.10759641,39.72487523,24.03826376
14.85242896,28.37582246,22.31295608,31.19761899,14.49089551
14.3808844,26.89355108,22.57149348,39.55239679,20.63716001
43.29811464,44.24875316,29.95590313,56.14448739,27.38463354
25.90540562,36.04881813,24.67262743,42.65829657,24.94317977
10.40643151,28.68209675,22.72514862,57.45759819,40.41207188
19.47701165,25.81803851,22.73731103,33.55144252,17.49909877
41.52780529,33.01105975,21.64094484,25.08355264,9.005238053
14.32497601,25.10126986,20.32704665,26.64458974,13.2119101
41.97725537,43.45292578,29.31846583,63.45448827,41.3892793
40.486411,68.24811614,31.22578486,43.18619317,26.34009163
41.99031652,38.83912814,26.44141181,44.11149294,22.62985018
14.02068406,23.27929386,19.49326734,38.17394281,21.77816293
11.89266248,23.34997897,19.02758406,46.11656992,25.75130391
12.64951102,30.15840851,19.28973178,29.27040921,15.43731516
11.37860492,25.77698626,20.90439221,29.44479778,14.33525634
9.294728162,30.05618963,23.08485973,32.98584997,14.8200545
4.059102999,17.14455622,16.72989214,38.53472457,21.41860648
22.37013906,27.38892951,20.82335358,43.68380959,22.71817768
3.962894247,16.31747812,15.10475092,26.63547239,17.14981548
10.94447747,25.70563901,19.43894992,33.66277582,17.11169952
12.56990492,25.8459911,19.94241977,25.12351774,10.91618196
7.649524893,15.8450446,16.60073353,28.35277408,17.73013006
12.87848074,25.80209037,16.572029,26.17038629,12.9332927
32.6916331,27.46218626,8.338923807,9.860559472,2.757587066
83.34720084,78.91247325,9.598596244,7.969025149,1.31182354
33.78595351,31.67559711,11.0344159,11.26856656,1.485558287
76.6436788,45.15827524,13.40213601,12.44495334,2.347222528
17.51579764,23.37120048,9.694124918,13.18828383,4.697048633
84.27679708,44.11425517,10.99995501,10.74018762,1.713909351
102.456063,135.9624791,19.35384526,21.43114172,6.565977078
123.3735711,54.81345108,14.27744983,11.51647835,1.363763328
300.8663493,128.3471564,19.905272,12.23957748,1.849234966
68.76350688,27.38904572,10.16058529,12.0795214,2.169675712
167.2859176,86.71843918,23.58559358,16.43708399,2.654821716
68.34431107,26.87974542,8.407909972,12.15291857,2.038800856
58.48583729,46.52742764,12.53786087,13.6300644,3.691617268
29.21720822,57.56495825,9.773210713,11.2859696,2.780720293
78.38268737,31.9428237,9.669218432,12.23130423,2.396223017
101.6058329,70.83711093,12.74044099,10.35811808,1.589272336
245.6759341,101.192113,16.00511281,13.18158003,2.203462968
86.84948882,81.61128101,18.56860666,14.68109853,2.301752667
9.198920401,10.55147102,4.997548783,10.18794368,2.425948702
26.08057447,19.30941526,6.892031809,8.147038332,1.909555327
35.56452665,44.04072366,11.7816008,17.02407579,6.602536469
47.42552008,67.72052095,11.16691181,8.398167405,1.420588867
35.13323328,22.9341027,7.531880317,10.17551721,2.740724279
35.96946016,832.1138687,100.6905511,47.12910398,13.57847594
62.28127757,1074.485818,112.4551005,51.20163911,11.12108227
182.7814798,995.5312265,138.4494551,93.15761211,29.06525631
109.3620189,983.6366034,123.5351887,63.50539489,13.88084092
59.30656752,832.001805,96.56948151,72.00883507,32.20917397
141.2681353,1093.718213,133.7310646,101.229929,38.23527455
132.4052306,1601.345274,151.7548034,76.80927164,18.50701172
177.1452335,2119.422559,215.9124772,101.8351937,29.24170967
129.8417616,1073.70242,97.91831196,54.3243815,13.32901445
162.6207476,1768.740752,160.4252733,101.8373336,30.7762056
93.45876836,1363.290047,151.0034245,85.56368123,20.63871193
100.6769987,1030.637338,100.739143,63.91537466,13.6392353
113.6086766,1915.272095,187.0346351,61.91855268,10.72361793
85.07893266,1232.775697,90.99784298,64.17954064,24.46721366
163.3206919,1683.097216,179.7642173,85.195857,12.62939793
144.2847872,1202.233755,106.2883258,61.75997714,16.3968867
68.97200779,954.0027502,73.22043971,45.18095506,11.31010609
117.8367887,1376.563211,146.363902,84.47556186,23.83169522
36.53768724,935.0881648,79.24564937,34.5852996,10.41702245
94.98455301,1973.606065,151.1847201,58.26617582,15.63527494
55.33385159,970.4438208,69.64903602,44.80253482,15.37140139
61.31443258,930.7974679,63.80160834,39.07331907,12.51988933
105.2177463,1468.990825,151.0077242,76.9015742,18.12172716
11.02557544,48.84605638,19.49774507,33.58123003,14.02239333
13.55898653,66.18557412,21.85242675,26.88992217,9.90880535
38.35537328,118.4036112,40.72450427,48.97532393,19.81707111
39.05251448,139.1968839,57.96987626,178.6627743,129.9339949
15.13176971,68.55443622,20.697337,28.17499736,9.849833416
32.68441434,105.728585,34.47587178,45.70959029,16.65573771
31.41126944,135.9548494,31.57319658,30.18676828,7.462960772
47.56411988,139.2478933,37.99222433,35.85957277,7.797140895
46.33415778,116.8464936,30.36113731,27.21979579,7.428557363
45.47772162,282.6882086,52.44496592,28.0730869,4.94483693
33.12344721,87.62136335,28.92904529,32.85848188,9.777833724
22.85553525,67.20744972,20.99312015,28.75383752,9.157812107
32.34740752,195.523599,43.87568312,33.54274507,8.560978244
12.17579847,102.5242412,27.7450654,23.48246187,5.728320703
40.58540909,234.7733463,67.25590863,144.2029487,88.2803963
18.173424,156.9094045,24.85035059,22.594241,6.963010479
24.77669524,138.9372619,34.42361703,27.3104292,7.386890864
21.78718044,108.2610684,29.44190562,25.36915506,6.218757291
9.565486439,49.12754623,18.03428432,19.8504497,5.283320763
16.50352629,174.5534924,32.49193436,21.2144356,5.433130775
11.90754467,55.08896317,23.5516417,33.32456186,11.58875522
22.49384548,63.61208602,20.08803164,21.31250187,4.382595024
26.21105907,134.5151277,29.29458599,25.34712967,6.618282525
38.79013995,1016.202012,272.8391279,353.1606645,88.54555219
68.11664546,1669.482543,425.6481552,524.3427227,146.9708161
169.1630196,4927.214874,1411.821973,1208.915801,228.685208
88.21813214,2545.846189,627.7934362,644.1631751,96.44285374
48.23876644,1190.483259,376.7433692,493.7952886,151.6207845
88.66640306,3818.360149,897.5329998,682.6397393,113.1463931
139.3660982,3402.699107,808.4215231,778.3714689,213.2781144
122.1158274,4274.081242,1017.584053,779.1546417,120.8679987
174.8970703,4418.622169,905.0541155,760.7460586,153.4957082
247.0754786,8006.768341,1746.720258,1571.732248,406.3192804
51.6059333,1377.054405,506.1840978,594.7770578,123.4832931
84.86606669,2575.75983,637.2213834,776.9249695,219.8491014
149.0710055,3779.778914,681.9065134,989.4498324,484.6178137
82.61706265,2919.360637,538.3113891,498.3725613,118.5416912
70.30258664,2000.898565,584.1306699,614.8289444,107.2617655
38.24910778,1452.066909,315.9826861,427.8483096,147.5173661
87.77326001,1868.772694,369.0109239,423.4918271,82.87269239
99.52844983,2990.522999,971.0568959,1317.412821,473.0414108
35.40274114,1039.516595,312.2749392,327.7640737,86.63150472
57.45611221,2010.6324,472.4846277,595.4118351,265.2043735
59.17884801,1879.154309,557.6320916,607.5389066,184.3099709
71.93062887,1871.21431,479.0107693,508.7893079,90.69221493
60.30127682,2026.525215,538.3796652,713.3040776,228.0787401
9.405410969,80.6937249,24.51700131,74.82525766,56.76628902
16.56081868,147.4315887,33.02110606,66.34261882,54.85021385
34.61362294,91.45720191,30.83221598,89.40472091,75.41559122
24.99418382,92.17619884,31.25285985,99.22570049,74.26006632
9.887622879,75.38638983,29.93910056,94.27506162,92.27265054
25.82459192,169.7479892,32.17097831,81.81341286,57.02542896
19.28015801,61.88648515,22.28163555,36.5426125,10.72699901
18.83125841,105.24921,26.71347691,94.87978824,68.0263636
31.51110033,70.88541278,20.34328966,28.12253304,4.720500992
37.79437181,77.33845393,29.01647654,91.73047052,59.32130632
29.0393869,74.2595194,25.82785287,80.73840914,66.1841442
18.46776306,78.85575166,20.73071507,73.59450532,48.90300978
24.48820508,142.8748397,29.15864178,95.68423178,67.90243037
10.40331901,102.6481829,28.27740957,95.6058553,77.35020562
18.1448381,61.0092586,21.93008997,66.16811778,44.38448223
13.22285208,231.8569022,26.53685075,71.18420355,44.50264183
17.75859895,82.2972066,23.13200531,33.3252988,8.81049614
16.13119445,82.04088146,23.58127595,36.31763817,10.53946375
7.260739887,53.64255578,24.45486982,47.0056989,21.22167917
11.84356997,78.10671764,25.24058415,108.0955111,82.81399485
11.77278098,74.72824098,25.81775207,96.62944774,84.81695859
17.47575647,131.7975369,29.14636126,105.0777497,86.97087605
20.08764298,148.9905089,31.27739804,82.46371247,64.77992854
12.97235086,87.49542819,20.97133045,37.36996407,10.03564114
11.58530255,80.01216984,22.61433009,54.60267854,22.30900567
22.15717439,124.7657693,33.12670295,45.42480164,11.38735374
24.22330018,107.3816701,30.74261251,41.11840718,11.2627242
13.13377383,85.01154359,27.63462294,65.8222798,38.55474898
21.4476247,110.3077197,33.54226161,53.28845452,17.48867933
14.36134076,92.39894601,27.05700235,57.97028611,24.90609319
14.12836,84.6468091,25.33604675,60.6548707,30.4190175
22.60320403,112.3242922,33.75798142,42.92279099,10.53013635
16.77430183,97.16502573,28.30281937,37.97894949,10.05318763
15.01746129,126.5078299,38.32319306,80.05736391,41.7231839
15.48262239,117.7496935,29.70100378,38.85940103,11.28367613
15.4806478,125.6441873,25.3958607,43.10677667,11.92351342
8.452164728,77.16194142,20.16436622,50.52988405,20.71172388
11.37032025,72.52966825,19.4170989,37.8580157,10.37175141
8.889644687,49.18528428,19.81247205,48.69682043,17.01058989
19.65863376,126.7845996,24.54583721,40.35287654,11.8073593
20.30795354,111.479942,32.73670449,43.60052505,11.85501858
8.099404866,76.29651296,18.38868448,38.52082215,10.65848915
11.50662127,79.071841,19.7494851,40.04276791,16.02111715
11.203251,91.92439857,24.7847014,40.28028552,12.54823818
9.102525367,72.20691595,19.53442577,33.57413742,10.73209237
12.80746672,70.23966528,20.96979425,44.09764954,18.21824152
24.86841306,107.0335117,50.06247923,84.8252843,45.94794761
39.53092981,269.8228863,53.16355962,52.37166434,16.91151136
50.31011573,156.3138834,56.40473546,93.86294876,44.97618686
35.91679055,134.7614775,49.09355169,89.25464506,55.83393094
27.12337045,141.6536397,44.81505626,64.27263539,23.24510409
45.25057003,300.7888915,71.86468525,86.8412217,44.5289944
32.88069868,142.862139,49.16130726,60.79916605,21.25471968
18.95681463,88.73282017,38.46687836,52.11513427,16.89349661
94.79124324,222.4538494,71.54349431,82.79761609,42.17284798
98.29010936,836.6917202,113.8292767,105.9178196,52.38923909
46.14419665,205.029561,59.18397925,89.94685644,51.45994794
31.74616529,270.6415181,77.27512255,67.47498819,18.19329279
38.51277809,255.7151083,70.39679981,69.14463546,25.81649214
19.88603309,125.37459,46.32673573,86.73442539,49.25013059
33.08379417,151.7156018,44.54112835,46.9572648,12.29801058
16.55643505,110.0586722,40.98052805,79.69450135,43.1858046
30.92066961,113.9494608,40.19281024,71.48882471,38.1866996
34.1792831,209.0242724,53.88969762,89.43248375,41.59705272
7.395134374,49.64991255,27.6508438,35.04446697,11.77446936
24.44009914,89.68582424,40.65192872,68.72782831,32.86112334
16.61779743,148.1493672,55.34661949,72.25658685,26.48816926
30.98544487,156.959361,40.91726546,65.96991527,30.10178154
26.31514085,260.6791183,53.99068711,59.15656895,22.54320433
9.753870692,55.40478075,11.68320537,33.08416271,21.47576169
11.77275661,61.84854282,18.15040882,66.52504638,60.90222158
14.04926038,52.39433218,17.62486207,50.53781346,37.25095025
17.47516702,66.33472812,13.01929135,23.5145924,11.76228241
13.86009162,81.83218454,18.83840598,48.32302579,37.03804485
20.39766733,289.5092358,43.61492219,38.06212122,21.9082133
16.12449849,178.0644115,32.03482397,45.71510069,34.00910762
21.08905077,179.7071104,28.62704415,33.92727147,21.6036752
18.20339936,74.17216671,11.85504716,19.87638737,10.61130603
24.60375898,178.9565939,28.79112019,29.79542561,17.58764638
16.27402586,91.5096314,19.02155231,24.2459122,10.62977288
15.88644621,263.2374994,43.0679034,21.39350933,7.18552536
19.02914151,238.4857103,33.10871708,21.79150005,10.91866044
7.319383929,260.4472178,40.71215861,27.0700312,12.63698482
20.16772823,181.7804747,33.20394714,59.85678783,36.30185051
15.64989396,219.8261477,27.40678143,28.35424685,17.66187997
21.1487858,201.3434166,23.05263343,19.38053018,9.511742692
14.29311664,173.5180577,23.89944546,18.76465605,10.45629587
3.528005087,44.27497157,7.901359363,14.21662044,7.492972156
12.86489989,192.7741732,34.28071959,30.95404659,18.85698078
11.06240014,70.53289206,16.65724859,64.13528275,44.97639982
23.164937,253.2970486,41.08307711,28.8401798,12.75073112
12.47220075,90.50976578,16.09910551,22.02436607,10.80192659
6.658438684,22.78549142,13.51242739,15.64440912,6.197689825
5.016429963,18.26084137,11.96307953,28.5920747,14.74555035
6.173675112,25.53995523,14.04851491,22.41389589,9.83108477
10.38210821,25.84299592,11.39322517,18.32327099,8.735992565
5.235675269,25.06808362,12.18924977,25.2134165,13.0001423
10.26166141,42.93715938,15.68205956,20.070269,7.559679974
10.14997978,24.25930308,14.04775022,17.31567854,6.099621381
6.946967102,22.33422664,12.91864182,18.21318577,6.415132828
10.60548473,22.64478217,11.31780409,23.2657736,9.847479933
13.57110997,24.56012837,14.08625433,21.28907008,8.099863608
7.421771494,29.75310326,14.64477015,24.11739937,9.568843328
8.619004659,20.59091449,10.82457481,15.51002892,5.361725114
9.544570031,32.35912784,14.89797195,19.24811423,7.494465378
4.740611666,28.0932503,12.16571914,13.58996097,3.504965439
3.529862542,18.60383506,10.52936263,11.12713048,2.814507027
8.924066614,27.19628995,10.98214127,12.65556289,3.373379451
2.032667987,12.88687816,7.719546174,16.71925668,6.579680486
3.437116459,15.34238898,8.589247106,20.12111767,8.681528257
1.764092678,12.53626648,7.258014384,14.80486503,5.551850653
6.49736534,24.74333669,12.64541848,22.68085964,10.61527284
5.528293642,25.58299948,17.10043787,42.20277884,28.64745102
3.642762176,19.96683385,11.93274675,17.48064458,7.17893356
